audio_file,locality,difficulty,condition,language,style,suggested_sentence
koramangala_quiet_hindi_01.wav,Koramangala,easy,quiet,hindi,normal,"Haan bhai, main Koramangala mein rehta hoon, kaam paas mein chahiye."
indiranagar_quiet_hinglish_02.wav,Indiranagar,easy,quiet,hinglish,normal,"Mera area Indiranagar hai, metro ke paas hi rehta hoon."
whitefield_noisy_hindi_03.wav,Whitefield,easy,noisy,hindi,normal,"Main Whitefield side rehta hoon, daily travel bahut hota hai."
electronic_city_quiet_hinglish_04.wav,Electronic City,medium,quiet,hinglish,normal,"Actually main Electronic City mein hoon, phase one ke aas paas."
marathahalli_noisy_hindi_05.wav,Marathahalli,medium,noisy,hindi,normal,"Haan, Marathahalli se call kar raha hoon, job nearby mile to accha hai."
jayanagar_quiet_hindi_06.wav,Jayanagar,easy,quiet,hindi,normal,"Main Jayanagar mein rehta hoon, morning shift chalega."
hsr_layout_phone_hinglish_07.wav,HSR Layout,medium,phone,hinglish,normal,"Mera location HSR Layout hai, interview online ho sakta hai kya?"
btm_layout_noisy_hindi_08.wav,BTM Layout,medium,noisy,hindi,normal,"BTM Layout ke paas rehta hoon, bus se aa jaunga."
silk_board_quiet_hinglish_09.wav,Silk Board,easy,quiet,hinglish,normal,"I stay near Silk Board, traffic ke wajah se late ho sakta hoon."
bellandur_noisy_hindi_10.wav,Bellandur,medium,noisy,hindi,normal,"Bellandur mein ghar hai mera, night shift bhi chalega."
byatarayanapura_quiet_hindi_11.wav,Byatarayanapura,hard,quiet,hindi,normal,"Main Byatarayanapura mein rehta hoon, thoda door padta hai."
kadugondanahalli_noisy_hinglish_12.wav,Kadugondanahalli,hard,noisy,hinglish,normal,"Kadugondanahalli side mera room hai, location thoda confusing hai."
rajarajeshwarinagar_quiet_hindi_13.wav,Rajarajeshwarinagar,hard,quiet,hindi,normal,"Rajarajeshwarinagar mein rehta hoon, wahan se commute kar lunga."
kothanur_dinne_noisy_hinglish_14.wav,Kothanur Dinne,hard,noisy,hinglish,normal,"Mera area Kothanur Dinne hai, nearby opening ho to batao."
kengeri_upanagara_quiet_hindi_15.wav,Kengeri Upanagara,hard,quiet,hindi,normal,"Kengeri Upanagara mein ghar hai, main kal aa sakta hoon."
thalaghattapura_noisy_hinglish_16.wav,Thalaghattapura,hard,noisy,hinglish,normal,"I am from Thalaghattapura, bus route check karna padega."
hebbal_quiet_hindi_rushed_17.wav,Hebbal,easy,quiet,hindi,rushed,"Hebbal mein rehta hoon bhai, jaldi job chahiye."
yelahanka_quiet_hinglish_rushed_18.wav,Yelahanka,easy,quiet,hinglish,rushed,"Yelahanka side stay karta hoon, immediately join kar sakta hoon."
doddanekundi_quiet_hindi_whispered_19.wav,Doddanekundi,hard,quiet,hindi,whispered,"Doddanekundi mein rehta hoon, abhi dheere bol raha hoon."
thanisandra_phone_hinglish_20.wav,Thanisandra,medium,phone,hinglish,normal,"Thanisandra is my area, phone pe network thoda weak hai."

